index,메뉴명,조리방법,요리종류,열량,탄수화물,단백질,지방,나트륨,이미지경로,재료정보,저감조리법TIP,만드는법,감정,재료
570,흑마늘견과류조림,기타,반찬,179.2,15.1,6.3,10.4,120.2,http://www.foodsafetykorea.go.kr/uploadimg/20200317/20200317113538_1584412538874.JPG,통마늘 10g  마카다미아 5g  호두 5g  아몬드 5g  캐슈넛 2g  땅콩 2g  대두유 5g  흑마늘진액 5g  간장 2g  물엿 2g   깨 2g,흑마늘은 이용해 보기 좋은 색과 향을 입혀 간장 사용량을 줄여요.,1. 통마늘과 견과류들은 먹기 좋은 크기로 자른다.||2. 흑마늘 진액과 간장  물엿  물을 넣어 흑마늘 소스를 만든다.||3. 대두유를 두르고 마늘을 팬에 노릇하게 구워준다.||4. 구워진 마늘에 각종 견과류를 넣어 볶는다.||5. 소스를 넣어 조린다.||6. 그릇에 담고 깨를 뿌려 마무리한다.,0,통마늘 마카다미아 호두 아몬드 캐슈넛 땅콩 대두유 흑마늘진액 간장 물엿 깨
571,고구마 찰 빵,기타,기타,241,39.76,6.35,6.27,4.16,http://www.foodsafetykorea.go.kr/uploadimg/20210202/20210202052349_1612254229383.jpg,(반죽재료) 쌀가루 120g  타피오카 전분 80g  비트가루 15g  물 140g  르뱅 발효종 160g  소금 2g  올리브유 25g  (속재료)  고구마 30g  생크림 10g  김치 70g  양파30g   기름5g,타피오카를 넣어 반죽에 단맛을 주었고  고구마와 양파를 볶아 넣어 단맛을 냈어요. 르뱅 발효종은 이스트 10g으로 대체 가능해요.,"1. (속재료) 고구마는 쪄서 으깬 후 생크림을 넣어 부드러운 무스를 만든다.
 양파와 김치는 다지고  기름 두른 팬에 양파를 볶아 단맛을 낸 다음 김치를 볶아 볶음 김치를 만든다.||2. 반죽재료를 모두 넣고 1단으로 믹싱한 후 올리브유를 넣고 최종단계 직전까지 믹싱한다.||3. 1차 발효 후에 반죽을 각 100g씩 총 3개로 분할하여 둥글리기 한 후 랩을 덮어 중간발효(10분)를 해준다.||4. 반죽에 고구마 무스  볶음김치을 넣어 싼 후 고구마 모양으로 만들어 준다.
★이음새가 벌어지면 구우면서 반죽이 터져지니 꼼꼼히 붙여주세요.||5. 팬닝 후 2차 발효(30분)를 한다.||6. 윗불 160℃  아랫불 180℃에서 15분 굽는다.",0,쌀가루 타피오카 전분 비트가루 물 르뱅 발효종 소금 올리브유 고구마 생크림 김치 양파 식용유
572,브로콜리견과류복음,볶기,반찬,131.3,5.7,4.1,10.2,5.3,http://www.foodsafetykorea.go.kr/uploadimg/20230306/20230306034924_1678085364484.jpg,필수재료 : 브로콜리 70g  아몬드슬라이스 5g  캐슈넛 10g 양념 : 무염버터 10g  소금 0.3g,버터의 고소한 향과 불향을 더해 나트륨이 적어도 맛있게 먹을 수 있어요.,1. 끓는 물에 한 입 크기로 썬 브로콜리를 데친다.||2. 팬에 아몬드슬라이스  캐슈넛을 굽는다.||3. 팬에 무염버터를 녹인다.||4. 버터가 녹으면 브로콜리를 넣어 불향이 나도록 볶는다.||5. 구운 견과류를 넣어 볶다가 소금으로 간한다.||6. 그릇에 담아 마무리한다.,0,브로콜리 아몬드슬라이스 캐슈넛 무염버터 소금
573,유린기,기타,반찬,173.3,7.3,11.3,11,148.2,http://www.foodsafetykorea.go.kr/uploadimg/20230309/20230309024736_1678340856988.jpg,필수 재료 : 닭다리살(110g)  양상추(25g)  그린치커리(5g)  라디치오(5g)  홍고추(5g)  청양고추(5g)  대파(5g)  무순(3g)  마늘(1g)  생강(1g)  식용유(3g) 소스 : 식초(5g)  저염간장(5g)  레몬즙(2g)  설탕(1g)  물(5g) 양념 : 옥수수전분(5g),청양고추와 레몬을 사용해 매콤하고 새콤하면서 나트륨이 적은 소스를 만들었어요.,1. 양상추와 그린치커리  라디치오는 먹기 좋은 크기로 찢고  고추는 잘게 다진다.||2. 대파와 생강  마늘은 곱게 다지고  팬에 식용유를 두른 뒤 볶는다.||3. 소스 재료를 넣어 약한 불에서 5분 정도 끓인다.||4. 소스를 식힌 뒤 잘게 썬 고추를 섞는다.||5. 닭다리살에 옥수수전분을 묻히고  팬에 식용유를 두른 뒤 노릇하게 굽는다.||6. 그릇에 손질한 채소를 깔고  구운 닭다리살을 올린 뒤 소스와 무순을 올려 마무리한다.,0,닭다리살 양상추 그린치커리 라디치오 홍고추 청양고추 대파 무순 마늘 생강 식용유 식초 간장 레몬즙 설탕 물 옥수수전분
574,단호박 호밀빵,기타,기타,271,53.05,10.59,1.86,1.83,http://www.foodsafetykorea.go.kr/uploadimg/20210129/20210129042050_1611904850936.jpg,(반죽재료) 통밀가루 200g  강력분 200g  전립분 40g  소금 15g  드라이이스트 5g  물 150ml  베이킹파우더 10g (속재료) 단호박 20g  참깨 10g,설탕 대신 잘 익은 단호박을 이용하여 담백한 단맛을 냈고  참깨의 고소한 맛으로 단맛을 대체했어요.,1. (속재료) 단호박은 쪄서 먹기 좋은 크기로 썰어둔다.||2. 통밀가루와 강력분  전립분  물  소금을 섞어 5℃에서 반나절동안 1차 발효를 시킨다.||3. 반죽을 썰어 모양을 잡고  중간발효를 15분동안 한다.||4. 반죽 가운데에 썰은 단호박과 참깨를 넣고 가볍게 접어서 말아 면포에 올린다.||5. 굽기 전에 쿠프(칼집내기)를 한다.||6. 230℃ 로 예열한 오븐에 넣고 스팀 후 210℃에서 25분 굽는다.,0,통밀가루 강력분 전립분 소금 드라이이스트 물 베이킹파우더 단호박 참깨
575,미숫가루 스콘,기타,기타,376,55.8,9.53,12.73,8.1,http://www.foodsafetykorea.go.kr/uploadimg/20210129/20210129045232_1611906752043.jpg,버터 40g  박력분 90g  강력분 90g  미숫가루 70g  베이킹파우더 10g  우유 66g  달걀 50g(1개)  건크랜베리 20g  호두 20g,설탕을 빼고 건크랜베리를 첨가함으로써 자연스러운 단맛을 느끼도록 했어요.,"1. 체 친 강력분  박력분  미숫가루  베이킹파우더와 버터를 카드를 이용해 잘게 잘라 섞는다.
★ 자르듯이 섞어야 글루텐이 생기는 것을 최소화 해  바삭한 질감을 얻을 수 있어요.||2. 계란과 우유를 섞어 넣고 카드로 잘라 주듯이 섞는다.||3. 가루가 약간 보일 때쯤 건크랜베리와 호두를 넣어 같이 반죽한다.||4. 뭉쳐진 반죽을 비닐에 싸서 냉장고에서 1시간 이상 휴지시킨다.||5. 휴지시킨 반죽을 밀대로 밀어주고 여러 겹 쌓이도록 3접절이를 5회 정도 해준 후 카드로 일정하게 자른다.||6. 오븐팬에 놓고 겉면 코팅을 위해 계란물을 얇게 발라준 후 180℃로 예열된 오븐에서 20분 정도 굽는다.",0,버터 박력분 강력분 미숫가루 베이킹파우더 우유 달걀 건크랜베리 호두
576,고구마 공갈빵,기타,기타,277,56.14,8.73,1.92,4.46,http://www.foodsafetykorea.go.kr/uploadimg/20210202/20210202053118_1612254678493.jpg,(반죽재료) 강력분 300g  이스트 6g  소금 4g  버터 10g  물 170ml  (속재료) 고구마 3~4개  우유20g,고구마와 우유를 섞어 식재료의 본연의 단맛을 이용한 무스를 사용했어요.,"1. (속재료) 고구마를 삶아서 껍질을 제거하고 우유를 넣어가며 으깨서 부드러운 무스 상태로 만든다.
★ 고구마를 물에 삶으면 수분이 많아 우유량을 조절해야 해요.||2. 버터를 제외한 모든 반죽 재료를 넣고 클린업 단계까지 믹싱하다가 버터를 넣어 최종단계까지 믹싱한다.||3. 반죽은 처음 부피의 2배 정도 되도록 1차 발효하여 50g씩 분할하여 둥글리기 한 다음 중간 발효(10-15분)한다.||4. 중간 발효가 끝난 반죽은 납작하게 펴고 만들어 놓은 고구마무스를 넣어 동그란 모양으로 일정하게 만든 후 팬닝한다.||5. 팬닝된 반죽을 호떡처럼 윗면을 살짝 눌러준다.||6. 190℃에서 15분 정도 굽는다.",0,강력분 이스트 소금 버터 물 고구마 우유
577,검은콩 크림빵,기타,기타,233,37.02,10.98,3.47,4.69,http://www.foodsafetykorea.go.kr/uploadimg/20210202/20210202053932_1612255172900.jpg,(반죽재료)강력분 300g  물 250ml  이스트 8g   호밀가루 50g  검은콩가루 24g  올리브유 4g 호두 50g  크랜베리 24g  (속재료) 불린 검은콩 300g  우유 200g   달걀 50g(1개)  소금 3g,검은콩을 끓여 자체에서 나오는 본연의 단맛을 이용한 검은콩 크림을 만들었어요.,"1. (속재료) 물에 불린 검은 콩을 30-40분 정도 삶은 다음 콩과 물을 분리시켜 식힌다. 식은 검은콩에 우유  계란  소금을 넣고 믹서에 갈고 끓여 검은콩 크림을 만든다. 이때 검은콩 물로 농도를 맞춘다.||2. 호두  크랜베리를 제외한 모든 재료를 섞어 한 덩어리가 되면 호두와 크랜베리를 넣어 밖으로 빠져 나오지 않게 잘 넣어가며 반죽한다.||3. 처음 부피의 2배 정도 부풀게 1차 발효를 하고 발효가 끝나면 반죽을 6개로 분할하여 둥글리기하여 중간 발효한다.||4. 중간 발효한 반죽을 공기를 빼주고 양끝을 접어 바게트 모양으로 만들어 주고 팬에 3개씩 팬닝한다.||5. ""윗불 180℃  아랫불 160℃에서 약 20-30분정도 구워 준 뒤 냉각팬에 옮겨 식힌다.
★팬에 크기에 따라 2회로 나눠 구워요.""||6. 식은 빵을 반으로 갈라 검은콩크림을 넣는다.",0,강력분 물 이스트 호밀가루 검은콩가루 올리브유 호두 크랜베리 검은콩 우유 달걀 소금
578,오이 소르베,기타,후식,65.4,8.3,3.7,1.9,34.7,http://www.foodsafetykorea.go.kr/uploadimg/20221208/20221208044201_1670485321757.jpg,오이(100g)  셀러리 줄기(15g)  요거트(60g)  과일(20g)  라임즙(5g)  아가베 시럽(5g),칼륨이 풍부한 오이와 셀러리를 사용하여 나트륨 배출에 도움을 줘요.,1. 오이는 껍질을 제거한 뒤 큼직하게 썰고  셀러리는 필러로 겉껍질을 벗겨 큼직하게 썬다.||2. 손질한 오이와 셀러리에 양념을 넣어 믹서에 곱게 간다.||3. 면포에 간 오이와 셀러리를 부은 뒤 즙만 짠다.||4. 오이셀러리 즙을 밀폐 용기에 넣어 냉동실에서 3시간 이상 얼린다.||5. 요거트에 얼린 오이소르베를 얹고 과일을 곁들인다.,0,오이 셀러리 줄기 요거트 과일 라임즙 아가베 시럽
579,리코타치즈 카프레제,기타,후식,222.7,9,4.7,18.6,13.9,http://www.foodsafetykorea.go.kr/uploadimg/20210310/20210310040853_1615360133030.jpg,방울토마토(100g)  우유(370㎖)  레몬즙(20g)  발사믹식초(10g)  레몬즙(1g)  올리브유(10g),칼륨 함량이 높은 토마토는 나트륨 배출에 도움을 줘요. 직접 만든 리코타치즈를 사용하면 짜지 않고 고소한 맛을 낼 수 있어요.,1. 냄비에 우유(370㎖)를 넣어 센 불로 올린 뒤 가장자리가 끓어오르면 레몬즙(20g)을 넣어 몽글해질 때까지 젓는다.||2. 물에 적신 면포에 끓인 우유를 넣고 물기를 제거해 리코타치즈를 만든다.||3. 냄비에 발사믹식초(10g)  레몬즙(1g)을 넣어 2분간 끓이다가 올리브유(10g)를 넣어 섞은 뒤 불을 꺼 발사믹 드레싱을 만든다.||4. 방울토마토는 반으로 썰고  굳힌 리코타치즈는 한입 크기로 만든다.||5. 그릇에 방울토마토와 리코타치즈를 올리고 발사믹 드레싱을 뿌린다.,0,방울토마토 우유 레몬즙 발사믹식초 레몬즙 올리브유
580,연두부 카프레제,기타,후식,309.3,12.3,17.5,21.1,279.4,http://www.foodsafetykorea.go.kr/uploadimg/20210310/20210310045858_1615363138551.jpg,깻잎(2장)  양파(20g)  방울토마토(5개=50g)  연두부(100g)  두부(100g)  다진 마늘(10g)  치즈(40g)  간장(8g)  올리브유(30g)  참기름(15g),으깬 두부  고소한 치즈  상큼한 토마토의 조합이 끝내줘요.,1. 방울토마토는 3등분하고  깻잎과 양파는 곱게 다진다.||2. 연두부와 두부를 크림 형태가 될 때까지 으깬다.||3. 다진 깻잎과 양파에 깻잎 드레싱 재료를 넣어 고루 섞는다.||4. 중간 불로 달군 팬에 다진 마늘을 볶아 마늘 플레이크를 만든다.||5. 그릇에 연두부 크림과 방울토마토  치즈를 올린다.||6. 깻잎 드레싱을 뿌리고 마늘 플레이크를 올려 마무리한다.,0,깻잎 양파 방울토마토 연두부 두부 마늘 치즈 간장 올리브유 참기름
581,연두부 토마토,기타,일품,110.1,7.6,8.3,5.1,46.9,https://www.foodsafetykorea.go.kr/common/ecmFileView.do?ecm_file_no=1NeNsKgD-bA,연두부(70g)  방울토마토(6~7개=50g)  스트링치즈(40g)  어린잎채소(약간)  발사믹식초(5g)  사과(150g)  사과주스(50g)  플레인 요거트(30g),사과드레싱의 상큼함과 발사믹식초의 시큼함을 더해 싱거운 맛을 보완했어요.,1. 믹서에 사과와 사과주스를 넣고 곱게 간 뒤 플레인 요거트를 섞어 사과드레싱을 만든다.||2. 연두부는 9cm 크기로 썬 뒤 중앙 부분을 파낸다.||3. 방울토마토와 스트링치즈는 굵게 다진 뒤 사과드레싱에 버무린다.||4. 버무려진 방울토마토와 스트링치즈로 연두부 속을 채운 뒤 사과드레싱을 올린다.||5. 그릇에 발사믹 식초를 바른 뒤 속 채운 연두부를 올리고 어린잎채소를 곁들인다.,0,연두부 방울토마토 스트링치즈 어린잎채소 발사믹식초 사과 사과주스 플레인요거트
582,들깨삼겹살과 참외쌈장,굽기,반찬,491.8,9.4,16.4,43.2,893.9,https://www.foodsafetykorea.go.kr/common/ecmFileView.do?ecm_file_no=1NxSkgr9W9R,[ 2인분 ] 삼겹살(200g)  참외(중간 크기 1개)  영양부추(50g)  들깻가루(3Ts)  마늘(5쪽)  통후추(1ts)  저염 된장(3Ts)  다진 양파(2ts)  다진 마늘(1ts)  참깨(1Ts)  참기름(2Ts)  다진 청고추(1ts)  다진 홍고추(1ts)  고춧가루(2ts)  다진 파(1ts)  들깻가루(4Ts)  사과즙(2Ts)  견과류(5Ts),나트륨 배출에 도움을 주는 칼륨이 풍부한 참외  영양부추  견과류를 사용했어요. 설탕 대신 사과즙을 사용하여 식재료 본연의 단맛을 내고 설탕의 사용을 줄였어요. 들깻가루를 사용해 고소한 맛을 살렸어요.,1. 냄비에 물(3컵)과 양념을 넣어 5분간 끓이고  삼겹살을 넣어 중간 불로 15분간 끓인다.||2. 참외(½개)는 껍질과 씨를 제거한 뒤 곱게 다진다.||3. 다진 참외에 견과류와 저염쌈장 재료를 넣어 고루 섞는다.||4. 영양부추는 한입 크기로 자르고  참외(½개)는 씨를 제거한다.||5. 그릇에 영양부추를 깔고  삼겹살을 가지런히 올린다.||6. 씨를 제거한 참외에 참외 저염쌈장을 담아 마무리한다.,0,삼겹살 참외 부추 들깻가루 마늘 통후추 된장 양파 마늘 참깨 참기름 청고추 홍고추 고춧가루 파 들깻가루 사과즙 견과류
583,돼지고기 포두부 파스타,볶기,기타,459.4,9.9,35.6,30.8,211.8,https://www.foodsafetykorea.go.kr/common/ecmFileView.do?ecm_file_no=1NxSkgr9XCr,[ 2인분 ] 양파(½개)  마늘(6~7쪽)  대파(1대)  다진 돼지고기(400g)  두부면(2팩=200g)  새우(¾컵)  닭육수(5컵)  청양고추(2개)  고추장(0.5Ts)  후춧가루(0.8Ts)  식초(1.5Ts)  올리브유(10Ts)  고춧가루(1Ts),조미료 대신 마늘  대파  건새우  닭육수가 감칠맛을 살리고  청양고추의 칼칼한 맛으로 느끼함을 잡았어요.,1. 양파는 3mm 두께로 채 썰고  마늘은 납작 썰고  대파와 청양고추는 어슷 썬다.||2. 다진 돼지고기에 고추장과 후춧가루 (0.3Ts)를 넣어 고루 섞은 뒤 10분간 재운다.||3. 중간 불로 달군 팬에 올리브유(3Ts)를 두르고  다진 돼지고기와 고춧가루를 넣어 돼지고기의 겉면이 하얗게 변할 때까지 볶는다.||4. 올리브유(7Ts)에 납작 썬 마늘  대파  양파  건새우  후춧가루(0.3Ts)를 넣고 마늘이 노릇해질 때까지 볶는다.||5. 두부면과 닭육수(½컵)를 넣은 뒤 육수가 졸아들 때까지 볶고  후춧가루(0.2Ts)와 청양고추를 넣어 1분간 볶는다.||6. 그릇에 담고 볶은 돼지고기와 식초에 재운 양파를 곁들여 마무리한다.,0,양파 마늘 대파 다진 돼지고기 두부면 새우 닭육수 청양고추 고추장 후추 식초 올리브유 고춧가루
584,단호박 양파잼 샌드위치,기타,기타,287,41.8,10.5,8.6,489.2,https://www.foodsafetykorea.go.kr/common/ecmFileView.do?ecm_file_no=1NxSkgr9l5l,[ 2인분 ] 양파(3개)  미니 단호박(2개)  삶은 달걀(3개)  우유(½컵)  식빵(4장)  슬라이스 체더치즈(2장)  말린 자두(½컵)  청상추(2장)  아몬드 슬라이스(⅓컵)  화이트와인(⅓컵)  꿀(2Ts)  소금(0.3Ts)  후춧가루(약간),칼륨 함량이 높은 우유는 나트륨 배출에 도움을 줘요. 단호박과 양파를 구워 단맛을 내고 첨가당 사용을 줄였어요.,1. 양파는 얇게 채 썰고  단호박은 껍질과 씨를 제거한 뒤 큼직하게 썰고  말린 자두는 굵게 다지고  청상추는 깨끗하게 씻는다.||2. 종이포일 위에 단호박을 올리고  식용유(1Ts)를 두른 뒤 180℃로 예열한 오븐에서 15분간 구워 꺼내고  삶은 달걀의 노른자는 체에 거르고  흰자는 곱게 다진다.||3. 중간 불로 달군 팬에 식용유(2Ts)를 두르고  화이트와인을 조금씩 넣으며 양파가 갈색이 될 때까지 볶아 양파잼을 만든다.||4. 구운 단호박은 한 김 식힌 뒤 체에 곱게 거르고  달걀노른자  흰자  우유  꿀  소금  후춧가루를 넣어 고루 섞어 단호박샐러드를 만든다.||5. 약한 불로 달군 마른 팬에 아몬드 슬라이스를 넣어 노릇하게 볶는다.||6. 식빵(1장)에 단호박샐러드  청상추  슬라이스 체더치즈를 올리고  다른 식빵(1장)에 양파잼을 넉넉하게 바른 뒤 덮고  삼각형으로 잘라 마무리한다.,0,양파 미니 단호박 삶은 달걀 우유 식빵 슬라이스 체다치즈 말린 자두 청상추 아몬드 슬라이스 화이트와인 꿀 소금 후추
